"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"MYH7B",5.545651585017,15.56357739828,11.781590290799,7.26944381309653e-10,4.52285830284397e-08,12.7929986665011,"MYH7B",1.8442707442824e-08,9.13849881584568,"+"
"MYH2",5.43481978747727,18.7355958818488,28.0024143984333,8.81293812795651e-20,5.04452578444231e-17,35.3397170146126,"MYH2",2.05698934171233e-17,19.0548792788716,"+"
"MYH1",5.37629350894377,16.539596368686,14.3154566619324,3.21647288606802e-13,4.00241104344638e-11,20.2008264185188,"MYH1",1.63204971276227e-11,12.4926201052245,"+"
"MYBPC2",5.26345308815417,16.2000061868546,32.5119966551206,2.71525686380622e-21,7.7710651442134e-18,38.7039215775904,"MYBPC2",3.16878114186631e-18,20.5661890797927,"+"
"TNNC2",5.12433941131386,16.5473849448918,26.7285581425429,2.59357418848883e-19,1.23713488790917e-16,34.2832199534783,"TNNC2",5.04462339460711e-17,18.5861013246164,"+"
"TNNI2",4.96073709927633,17.3210490200618,22.4018597714727,1.50837006096242e-17,3.32073470344188e-15,30.2621254837724,"TNNI2",1.35408484038294e-15,16.8214920963194,"+"
"TNNT3",4.58272805813196,18.8218922230844,24.5905855317155,1.77764109445424e-18,5.65289868036448e-16,32.3863258639781,"TNNT3",2.30506351482054e-16,17.7501559185245,"+"
"ZC3H8",4.50920194097874,14.195444250425,22.5166252074647,6.46750292360859e-13,7.40399734694711e-11,19.5553474642999,"ZC3H8",3.01910313863532e-11,12.1892633662903,"+"
"MYL11",4.28353948225901,18.6652502932529,28.84756220732,4.41646654342781e-20,3.1599818118226e-17,36.0129364235713,"MYL11",1.28853517350839e-17,19.3549250551761,"+"
"GCC2",3.89378620799834,14.9959998803108,10.502834755532,2.7953684645761e-08,1.0959376089886e-06,9.43392884153305,"GCC2",4.46886799116733e-07,7.55356093855207,"+"
"DNAH7",3.5453567030111,14.459875072624,12.4551913844368,6.12921999553083e-12,6.04890607834801e-10,17.1956366717459,"DNAH7",2.46654212186891e-10,11.2125947902761,"+"
"MYH4",3.31925910092378,17.6950493295626,8.89134618185919,4.80927323574519e-09,2.37312758632806e-07,10.3851654177851,"MYH4",9.67682267906178e-08,8.31792054806543,"+"
"ATP2A1",2.94197098689548,18.5243119696018,23.8951777670568,3.438391168783e-18,8.94606865914267e-16,31.732734941418,"ATP2A1",3.6479083799782e-16,17.4636447172999,"+"
"ACTN3",2.62469717825518,16.5329474304996,5.10645818590837,3.21442950887279e-05,0.000455430557148214,1.44152218548693,"ACTN3",0.00018570938914282,4.4928960936988,"+"
