"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"KRT16",1.93697489821202,17.147071637816,3.57669810934635,0.00156217387429149,0.0486097077896297,-1.17225508217153,"KRT16",0.0286299964433065,2.80627062958625,"+"
"KRT6B",1.70960953877527,16.5134910910015,3.34682457648096,0.00274284588335209,0.0645762196601702,-1.69208969927786,"KRT6B",0.0380339035814422,2.56179859410532,"+"
"KRT71",1.62043567469359,12.4173468163034,4.27988979310267,0.000270004422340113,0.0171842814573796,0.461603129378327,"KRT71",0.0101211453303679,3.56862912257368,"+"
"KRT6A",1.60566615897498,16.1596033080477,3.28472461300256,0.00318878119612973,0.0684712298098079,-1.8306952591653,"KRT6A",0.0403279747001861,2.49637527961987,"+"
"KRT14",1.58233210128148,18.0355477502615,3.71551966403922,0.00110821676594139,0.0417622739165281,-0.853973294890177,"KRT14",0.0245970158650012,2.95537528379103,"+"
"MMRN2",1.38295416442983,12.5634082871805,2.16610475253704,0.064574847833733,0.281924335664347,-3.87964942717297,"MMRN2",0.166046929602687,1.18993660853905,""
"KRT17",1.38207206605123,14.4917087447861,3.42531339903928,0.00226523063084754,0.058978368424976,-1.5157298737893,"KRT17",0.0347368983485089,2.64488757439933,"+"
"KRT5",1.37986189799338,17.6016178368409,3.5224431800298,0.00178536125813605,0.0514012661700624,-1.29582246382446,"KRT5",0.0302741599270484,2.74827389353453,"+"
"SBSN",1.3689578546524,12.4353515468548,3.91302705538622,0.000677700053740165,0.0298928299426664,-0.396775652256552,"SBSN",0.0176061871970662,3.16896247992135,"+"
"JUP",1.31132466607306,15.4152741189677,3.27103250454773,0.00329617148861168,0.0684712298098079,-1.86113900653878,"JUP",0.0403279747001861,2.48199020151972,"+"
"S100A13",1.28181916579031,14.471528634215,6.68846649039001,7.21311027806769e-07,0.000774984165426444,5.98358771068374,"S100A13",0.000456447794251327,6.14187742802203,"+"
"THY1",1.26702664469099,11.7925813397725,6.7590511909491,1.25590269111472e-06,0.000899226326838137,5.450494776933,"THY1",0.000529623561008031,5.90104400896593,"+"
"FLG2",1.26206690172001,11.5114480995398,5.8239797496276,2.96112634882361e-05,0.00648175093912252,2.54445520602437,"FLG2",0.0038176017666386,4.52854306122732,"+"
"POSTN",1.22756266775561,10.5925887661865,3.17078925409847,0.00771715764851645,0.103764974203526,-2.30541697393769,"POSTN",0.0611151759077338,2.11254262775556,""
"CALML5",1.21407419334995,9.32911198638403,2.74124072114426,0.024089726922008,0.176002494654671,-3.16668100762654,"CALML5",0.103661408905883,1.61816812307917,""
"DSC1",1.19179976666222,16.6627643859878,3.30840667037797,0.00301099265711364,0.0663344843844113,-1.77793847450372,"DSC1",0.0390694809401721,2.52129030359681,"+"
"MYBPH",1.16256788524539,15.8398729399085,3.31973550212773,0.00292938127521845,0.0661670039642721,-1.75265667002908,"MYBPH",0.0389708388365482,2.53322409880422,"+"
"DSP",1.13596153881991,12.9938261287765,2.93202171047566,0.00739414699969159,0.102858966158004,-2.59944972670204,"DSP",0.0605815580708779,2.13111191966495,""
"KRT9",1.10946341431087,20.2437833478902,3.11222176323958,0.00482744963295072,0.0822939172819001,-2.2109093142279,"KRT9",0.0484692187264949,2.31628224872323,"+"
"DSG1",1.1068379695956,16.9286293707771,2.93990359484081,0.00725870255328307,0.102408493165531,-2.58265975332414,"DSG1",0.0603162398708972,2.13914099972765,""
"ALDH1B1",1.09724785880041,15.2526125531757,5.1833258717971,2.79143339965585e-05,0.00648175093912252,2.58419114195231,"ALDH1B1",0.0038176017666386,4.55417272944959,"+"
"NES",1.08970942106661,12.7760959242271,4.3112690415582,0.000249506829455199,0.0166183153385974,0.535368476887918,"NES",0.00978780434346273,3.60291756244895,"+"
"FLG",1.07863495280709,14.3415146033108,2.88479388780943,0.00825760848196054,0.107012627567127,-2.69963602403286,"FLG",0.0630279688142734,2.08314571218001,""
"CDSN",1.07599402703314,11.4039637241296,3.37958654626992,0.00276692230678394,0.0645762196601702,-1.65194564077968,"CDSN",0.0380339035814422,2.55800303536889,"+"
