"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"TNNI2",6.58933316066224,16.7371213651809,43.5162656921892,3.62637147966383e-25,2.59557538656938e-22,47.6707060751655,"TNNI2",8.87364325655905e-23,24.4405277095332,"+"
"TNNC2",6.34121322969118,16.0939931785712,49.9004611634782,1.21139689585608e-26,1.73411465641798e-23,50.9654472648237,"TNNC2",5.92851777938999e-24,25.9167135435292,"+"
"MYH2",6.26478660339803,18.2131253217434,46.0761760966521,8.78275354212472e-26,8.38167446370103e-23,49.0524250273033,"MYH2",2.86549138462119e-23,25.056369304063,"+"
"TNNT3",6.04354522468387,18.6734346405035,61.2097742668189,7.47348445472449e-29,2.13965859938762e-25,55.766621268834,"TNNT3",7.31497424426166e-26,28.1264768644996,"+"
"MYBPC2",5.95680107702555,16.035510174668,40.9434751233217,1.64085774543382e-24,5.87221965647129e-22,46.1896954297439,"MYBPC2",2.00756959806711e-22,23.7849290685819,"+"
"MYH1",5.60144510082231,16.1999227922259,12.9598633083564,1.27181885579204e-12,5.77971013354385e-11,18.409511905312,"MYH1",1.97594283397695e-11,11.895574740521,"+"
"MYL11",5.05933717686468,18.3357289021334,32.3721205181651,5.37076947146696e-22,1.1828086920623e-19,40.4298598502158,"MYL11",4.04373628615371e-20,21.2699634883652,"+"
"GCC2",4.80420086646921,15.0774186179825,7.13465706829025,4.84347700989609e-06,3.1804758438836e-05,3.96132223393849,"GCC2",1.08732761802109e-05,5.31484275734947,"+"
"GTPBP3",4.60071933513215,19.105552811357,8.1658340241936,4.04997059015375e-07,3.84334613864417e-06,6.2439955218414,"GTPBP3",1.31394690835308e-06,6.39254813050887,"+"
"DNAH7",4.38887049507182,14.7329456058213,11.0946466837327,3.59355625606768e-11,1.14315017345798e-09,14.9763117206702,"DNAH7",3.90815342156062e-10,10.4444755520015,"+"
"MYH4",3.20416447661276,17.4688457880732,11.8944953265303,8.19302459161918e-12,3.0072601802315e-10,16.4952152783536,"MYH4",1.02810938018257e-10,11.0865557415902,"+"
"ATP2A1",3.12091841709684,18.3408762426299,36.5463503568756,2.71721387623213e-23,7.07216666150235e-21,43.4117175630144,"ATP2A1",2.4178024005709e-21,22.5658761762263,"+"
"TIMM10B",3.07030951679267,11.1257737338286,14.6708819420672,2.40431527714849e-10,6.13842557615801e-09,14.0245848462254,"TIMM10B",2.09857895099546e-09,9.61900858402865,"+"
"MYH7B",2.71139588296591,16.0412492488352,4.04610476923065,0.000625954607188768,0.00222120673705459,-1.72926820666025,"MYH7B",0.000759376756524852,3.20345715970047,"+"
"ACTN3",2.55662507411635,16.9563789590492,6.04466558326528,2.53355829052103e-06,1.82709757827751e-05,3.5633666693702,"ACTN3",6.24640385652083e-06,5.59626909928315,"+"
"C8A",2.31667889896758,12.5258405825477,22.2772738800491,4.68004205361312e-18,6.69948019974718e-16,31.238476115574,"C8A",2.29038993067013e-16,17.3297502444536,"+"
"DMTN",2.22156816626811,12.0364125964867,6.07262401409659,7.51592312981339e-06,4.67784520014255e-05,2.78267637707944,"DMTN",1.59924191492415e-05,5.12401767035818,"+"
"LDHA",1.98032834221971,19.9391708108207,13.6662031869295,3.93565861103126e-13,2.08662788951528e-11,19.6148923305317,"LDHA",7.13367509822867e-12,12.4049825804072,"+"
"MMGT1",1.86239214680963,11.7370926395348,9.49386447397386,1.6609927412634e-07,1.79683406096407e-06,7.48505776595654,"MMGT1",6.14294022463493e-07,6.7796322654632,"+"
"PDLIM7",1.81228666941686,16.6198107198226,15.9301989189254,1.23180753508347e-14,9.78109505605302e-13,23.1733826828844,"PDLIM7",3.34391937275322e-13,13.9094571436171,"+"
"MYL4",1.78706811163267,13.8243355720488,11.9253800438152,7.74936126074237e-12,2.88135341422148e-10,16.5524206833186,"MYL4",9.85064908003447e-11,11.1107340926378,"+"
"DNAH10",1.77893567915488,14.523217063391,13.475772467825,5.37448794809431e-13,2.6995015781393e-11,19.2947031426425,"DNAH10",9.22894172092888e-12,12.2696629066515,"+"
"NUP62",1.70681043309582,11.6709889333032,12.952243474751,2.3699623744159e-12,1.01721889075628e-10,17.8378998846663,"NUP62",3.47762488314173e-11,11.6252585488056,"+"
