"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"LDAF1",1.33155655234526,9.99931958822691,3.5537751094668,0.00593279497332544,0.10027734978145,-2.01709022441164,"LDAF1",0.071065348771199,2.22674065983581,""
"THY1",1.33001679833142,11.7986062194964,8.54431556168493,1.25477176145885e-08,1.79808793417053e-05,9.72301785363119,"THY1",1.27428323985035e-05,7.90143526362794,"+"
"S100A13",1.32628039363636,15.0749143905676,8.71919151679076,4.3661934183578e-09,1.25135103370135e-05,10.7307059638883,"S100A13",8.86817390357843e-06,8.35989702935412,"+"
"S100A6",1.26285121300899,13.2129084361571,5.97599618461902,2.9527049991828e-06,0.000940272503073099,4.67201813176012,"S100A6",0.00066635978629761,5.52977994064984,"+"
"COL3A1",1.15630728029932,11.7368857134655,2.27606229919893,0.0358781723698866,0.232995105497727,-3.8704425898989,"COL3A1",0.165120822102552,1.44516968797714,""
"KRT6A",1.06816284586807,15.0822548951558,2.02644772856638,0.0534113140300324,0.281838298140841,-4.42603645613995,"KRT6A",0.199735403838575,1.27236673734687,""
"ACHE",1.01939339435686,11.9942492466686,1.55888427884275,0.161608709943173,0.486875869952317,-4.64915038926775,"ACHE",0.345043058894669,0.791535236517363,""
"S100A4",0.89837042200811,13.8147642284046,5.62964351000058,7.14362773947239e-06,0.00170613642511066,3.83847194792705,"S100A4",0.00120911831401595,5.14608118498531,"+"
"UCHL1",0.807568832765313,14.2625723695519,3.8469884632796,0.000724084497869238,0.0441537483168774,-0.518135140882251,"UCHL1",0.0312912290814756,3.14021075035387,"+"
"XPO4",0.796215040467185,13.2222653213871,1.48889796212138,0.152728613908176,0.479184068672558,-5.15047837224095,"XPO4",0.339591972065827,0.816079589674037,""
"ALDH1B1",0.793332064631555,15.1653816314595,4.62439141667437,9.66623775781198e-05,0.0125924715517678,1.37704548963318,"ALDH1B1",0.00892413276445921,4.01474252684292,"+"
"KRT6B",0.780120143247775,15.3857415661841,1.47411764012749,0.152817250093063,0.479184068672558,-5.28958147892556,"KRT6B",0.339591972065827,0.815827619599436,""
"FKBP9",0.778587363371408,10.3415326207569,1.75686990172845,0.120977886878211,0.422828636081472,-4.28292979494328,"FKBP9",0.299653556451874,0.917294005587862,""
"MPO",0.749621436912674,11.8940589545733,1.11863185538966,0.291552971991186,0.625065190612564,-5.20469601042472,"MPO",0.442976164332524,0.535282527171101,""
"HSPB6",0.744227369796519,17.6233701811916,6.91294329450634,2.87251234970507e-07,0.000205815509856368,6.86043683970042,"HSPB6",0.000145858970369105,6.54173809548659,"+"
"COL1A1",0.74116099190163,11.6576346714652,1.65546325807056,0.110725046101654,0.405778813283694,-5.01210722375923,"COL1A1",0.287570552600536,0.955754130219632,""
"POSTN",0.677990046886604,10.112849561191,1.95987387442751,0.0654762518133785,0.31341813078868,-4.42285539393307,"POSTN",0.222115650485958,1.18391618972677,""
