"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"YBX1",1.23345624497192,8.61212292064998,1.97491264388783,0.066562988082962,0.304750017557614,-4.2007156060871,"YBX1",0.1968502715106,1.17676719034092,""
"FTL",1.14703566921537,12.9386940555792,4.26300365783588,0.000263895023849773,0.0270021158331999,0.495846060768271,"FTL",0.0174417507034965,3.5785687989992,"+"
"ALDH1A1",0.938417294497533,15.9417886746205,7.06601731975589,2.43802972266093e-07,0.000349247757771179,6.89952931845265,"ALDH1A1",0.000225593148419516,6.61296100408722,"+"
"CAVIN3",0.929356181029183,9.21321405060922,3.68550159303259,0.00931289082959733,0.110711337040649,-2.43450698942943,"CAVIN3",0.0715128974574486,2.03091548803416,""
"AFG1L",0.920717200427031,10.7645654808868,1.80808360664632,0.102850656506207,0.365591973809285,-4.26444136703417,"AFG1L",0.236150533749678,0.987792931814535,""
"KIAA1191",0.81159392122794,10.8674782777124,4.49175115234412,0.000160302535936416,0.0246390480902629,0.970283932275087,"KIAA1191",0.0159153503753746,3.79505960718746,"+"
"GGT5",0.804315873949237,10.9125735857523,3.08971264409494,0.0123917427090463,0.12634285715807,-2.63541717278897,"GGT5",0.0816099238789681,1.90686761245362,""
"SMTNL1",0.798029113797005,15.3222687980774,2.49758395992307,0.019652270791317,0.162258662297185,-3.42034711371785,"SMTNL1",0.104809384373897,1.70658726029315,""
"MUSTN1",0.793383334288061,15.2727861285293,3.02337662632805,0.00581384459312952,0.0916470142789314,-2.33473523849385,"MUSTN1",0.0591984859870693,2.23553658131144,""
"PROB1",0.787149579841817,13.3669660814864,4.74145128236837,7.75532148295658e-05,0.0148126640324471,1.6265877166532,"PROB1",0.00956809440062216,4.11040019457762,"+"
"NDUFAF2",0.78005348934188,13.5172634943571,1.67313418652043,0.107655428712346,0.372740223332157,-4.83581657346086,"NDUFAF2",0.24076787510598,0.967964065233246,""
"TUBB4A",0.77627573384159,10.9101284879543,3.40397763228567,0.00250790235578997,0.0647383463152575,-1.53171312752579,"TUBB4A",0.041817097014265,2.60068937660015,"+"
"NDUFC1",0.758018413636947,13.8031981359141,2.27636174237641,0.0319010375445392,0.204009983404252,-3.8425086349941,"NDUFC1",0.131778238918092,1.49619519178481,""
