"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated"
"FTL",1.10939758683956,12.7423568140788,5.72557172845967,6.9024884947617e-07,0.000994993716519899,5.82624419691544,"FTL",0.000668726112535921,6.16099430858086,"yes"
"ZC3H8",0.893262485564669,14.6402938871073,1.86314269713684,0.0736923796103617,0.312434015318637,-4.33773443813332,"ZC3H8",0.20998402403865,1.13257741939031,"no"
"ALDH1A1",0.810739229065055,16.3811727325417,4.76236908781132,1.85615153137025e-05,0.00356752324329361,2.79520407118691,"ALDH1A1",0.00239769951333312,4.73138657200099,"yes"
"ANKRD1",0.729367210691553,11.996936548396,1.23325057996388,0.229330940171571,0.545690277894953,-5.14230585339229,"ANKRD1",0.366753409721699,0.639537348500302,"no"
"FTH1",0.698982087259189,15.4588795397311,4.96683613615486,9.33307959496719e-06,0.00300577981888678,3.42760999460467,"FTH1",0.00202015693169745,5.02997503037782,"yes"
"TUBB4A",0.662971783972452,11.0471735571441,3.9986260579082,0.000233200580586982,0.0156352854379598,0.488910567713989,"TUBB4A",0.0105083313348816,3.63227037267199,"yes"
"KIAA1191",0.64608702650103,10.4593461545497,2.76223273616762,0.00886922536794864,0.0998871988450734,-2.69590828492414,"KIAA1191",0.0671332663380016,2.05211430949367,"no"
"MICAL3",0.644818565132709,13.5463360818527,2.90267430197886,0.0082077432944847,0.095031822963853,-2.46013357607351,"MICAL3",0.0638700129284166,2.08577623502127,"no"
"GGT5",0.640477667402964,11.2601601898261,2.66606260966879,0.0143863746548156,0.130427415502621,-2.89490138756338,"GGT5",0.0876590646644859,1.84204863384475,"no"
"NDUFC1",0.63965501375073,14.1192421682783,2.55945188337415,0.0137471220473274,0.127463131715856,-3.16890734083442,"NDUFC1",0.0856667968337805,1.86178821163637,"no"
"PANX1",0.636524847147628,10.1445707761887,2.58703265589124,0.0145636495165248,0.131209379862941,-3.0511589592958,"PANX1",0.0881846157088155,1.83672978118487,"no"
"MUSTN1",0.631334372438181,14.8890938795304,2.97479679850995,0.00460977846009623,0.0722282135894426,-2.21137868407857,"MUSTN1",0.0485439170993158,2.33631994573175,"yes"
"COX7C",0.628603366868834,15.4660768546265,3.52797537690328,0.000944896602401694,0.0340589750366605,-0.792912587238958,"COX7C",0.0228907234237478,3.02461571261583,"yes"
"SDHC",0.604559409201386,12.8020209070625,3.52179877404422,0.000962461028675623,0.0340589750366605,-0.809538086311218,"SDHC",0.0228907234237478,3.01661684662339,"yes"
"MYL6B",0.597111625883606,15.0134847699438,0.855689873272992,0.396493073172875,0.692781533307514,-5.79880826576368,"MYL6B",0.465612087708238,0.401764395506718,"no"
"LAP3",0.586111160772212,15.1017221066517,6.88295601404291,1.20610708361251e-08,3.47720672205487e-05,9.54662562070559,"LAP3",2.33699861126412e-05,7.9186141318663,"yes"
"PRR33",0.579477027688794,13.0651720031654,3.9921880982734,0.000232499153270708,0.0156352854379598,0.485905172955501,"PRR33",0.0105083313348816,3.63357862441071,"yes"
"NCSTN",0.572196396606522,11.61353400771,2.89776271974241,0.00568377941749545,0.0799333466372652,-2.39652447719513,"NCSTN",0.0537224660530362,2.24536278500625,"no"
"RBM3",0.57136985687171,13.2155283311526,3.85924816903788,0.000344552994478919,0.0202723731241372,0.12140781161421,"RBM3",0.0136248752591101,3.46274397131882,"yes"
"GIGYF2",0.570112406063853,13.6722435477322,1.83318583172839,0.0730867112185373,0.310322516116411,-4.57161811035937,"GIGYF2",0.208564904872686,1.13616158021175,"no"
"IGFN1",0.567461647309988,12.4512468624097,1.41161413802278,0.167099251151982,0.464421060430526,-5.06006267835164,"IGFN1",0.312133117189695,0.777025496374059,"no"
"RRAD",0.565694141355998,11.6851893509728,2.76655683402419,0.00806379098143423,0.0937415701591729,-2.70415349357416,"RRAD",0.0630028459021965,2.09346073794049,"no"
"AGPS",0.556994616301889,11.0585981772572,3.66090486220747,0.000694198103432435,0.0303238353362987,-0.477553684579287,"AGPS",0.0203803704334417,3.15851657716699,"yes"
"TAPT1",0.543982961038946,13.0984667822184,2.13472668813654,0.040492865099827,0.228903784476081,-3.93033510882739,"TAPT1",0.15384412524015,1.39262149334709,"no"
"SPECC1",0.543840146269829,10.2019211471711,1.29488134506503,0.207103221952259,0.520103300425403,-5.10388013348856,"SPECC1",0.34955663783192,0.683813144635265,"no"
"DDT",0.543337234130899,16.450184607702,2.94886909280473,0.00494808596020612,0.0750806938067065,-2.2740594954751,"DDT",0.0504610427807204,2.30556276423311,"no"
"MACF1",0.530930800126711,12.0836900178582,1.54329779565779,0.135227897244953,0.416964735569197,-4.7900919105302,"MACF1",0.28023815834437,0.868933705067879,"no"
"CES2",0.530382178652916,13.9123201326194,1.74496940523045,0.087499402430218,0.339516523830846,-4.7154239242484,"CES2",0.228185928567691,1.05799491294506,"no"
"COX11",0.52952232904833,11.0339437840986,2.49366738563928,0.0172152452315832,0.142411923987241,-3.26288285932884,"COX11",0.0957137424343161,1.76408678637988,"no"
"MCM7",0.528247736927671,12.9853951078295,3.36620192475264,0.00264664188460122,0.0543263222579367,-1.50817552963042,"MCM7",0.0365122208198358,2.57730481882833,"yes"
"UQCC3",0.524871155236386,11.4924480652476,1.74351185323804,0.0880442323768304,0.340256731826276,-4.7016362539812,"UQCC3",0.228683415543773,1.05529908863434,"no"
"PROB1",0.522960893185902,13.4485747368416,4.57434067764535,3.46785235791323e-05,0.00526200965677045,2.22097670052568,"PROB1",0.00353654822485324,4.45993940067348,"yes"
"AK3",0.521797760602441,14.9934051743348,3.10612552018696,0.0032041283228237,0.0611267470502269,-1.88834704137942,"AK3",0.0410827236877805,2.49429009908647,"yes"
"SMTNL1",0.514915265427071,15.7142852309318,2.32211854645846,0.0245906687651947,0.173260680572277,-3.66796442694361,"SMTNL1",0.116446907604275,1.60922966007445,"no"
"GOT2",0.512186457917274,17.8430490303015,3.73179857343956,0.000510348692731147,0.0246817916614104,-0.23543229972518,"GOT2",0.0165884048452947,3.29213299334602,"yes"
