"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"THY1",1.3310997591756,11.9124495266371,12.8497672278244,1.4202819387653e-21,4.07052803650136e-18,38.2464370191231,"THY1",2.02136890300663e-18,20.8476254356902,"+"
"S100A13",1.14033327057935,14.0543212545934,11.7694608567608,5.1722926972767e-20,7.41189543519751e-17,34.8516196304064,"S100A13",3.68064654283091e-17,19.2863169066038,"+"
"KRT71",0.999890677917342,12.0186018886493,4.23956764075117,5.34487830325e-05,0.00106377925118851,1.4915997063761,"KRT71",0.000528258319002836,4.27206217872998,"+"
"KRT16",0.96994646906678,16.4739069639208,3.2251750432765,0.00174662150182367,0.0143433158287296,-1.76140557964671,"KRT16",0.00712269570979703,2.75780119775255,"+"
"GTPBP3",0.965122202198504,19.4192476548414,3.49227548001378,0.000980690960339452,0.00937683960137444,-0.845224060319991,"GTPBP3",0.00465641111146613,3.00846782785362,"+"
"MYBPH",0.931317736916824,15.3163799188372,5.62426596801561,2.0109711892184e-07,1.25760802078395e-05,6.81749325406905,"MYBPH",6.24511051782195e-06,6.69659415140878,"+"
"KRT6A",0.901291525572752,15.6894308147789,3.46082226370971,0.000820293663010681,0.00814512586599387,-1.06470731047104,"KRT6A",0.00404475880990273,3.08603064347783,"+"
"CALML5",0.899092454733454,9.37581279302943,2.44697341293219,0.0199933762187591,0.0808194869435312,-3.20382663523857,"CALML5",0.040133858850661,1.69911386174145,"+"
"MYH7B",0.829074603323335,16.0660278708126,2.49599330543622,0.0149029418589772,0.0662198935935329,-3.54414444953114,"MYH7B",0.0328838992067044,1.8267279928623,"+"
"KRT14",0.827013515799768,17.4065096285131,3.57331959662868,0.000564949006834717,0.0061564405079403,-0.718852230627722,"KRT14",0.00305720468803278,3.24799075049868,"+"
"POSTN",0.788789123218011,10.1961474735635,3.46744752586799,0.000973668682847195,0.00937683960137444,-1.0183383726562,"POSTN",0.00465641111146613,3.01158879844946,"+"
"KRT5",0.736795740063044,17.0915773118617,3.46632080839816,0.000805621456601146,0.00807311571545065,-1.04799842316362,"KRT5",0.00400899954778645,3.09386897547407,"+"
"KRT6B",0.736466643110989,16.0990779531719,2.77737119275257,0.0066617269031664,0.0373630319069959,-2.9727104473562,"KRT6B",0.0185539738681568,2.17641317513912,"+"
"SERPINH1",0.692809385450611,11.7440268616866,11.2429132030208,6.25951477381751e-19,4.48494233544025e-16,32.4463032935002,"SERPINH1",2.22716141182235e-16,18.2034593312019,"+"
"S100A6",0.685139480429969,12.5418356423223,6.73123703645673,1.44308978288797e-09,1.96947396083663e-07,11.5771332245301,"S100A6",9.78014003101713e-08,8.84070664811661,"+"
"KRT17",0.680613294038134,14.1306474126848,2.98374504480807,0.00367012516764429,0.0246091160579989,-2.42942367712728,"KRT17",0.0122205525877855,2.43531912411569,"+"
"JUP",0.678650468651897,14.9227202906533,3.31920514647171,0.00129731550217287,0.011405233831986,-1.48799395076147,"JUP",0.00566368411979072,2.88695439231231,"+"
"FLG2",0.647105891769566,11.2191948537932,2.7393599955063,0.00830414200971563,0.0431153460142119,-2.9127259315493,"FLG2",0.0214104948778111,2.08070523253168,"+"
"SBSN",0.64687994879192,11.945040580587,3.64307752223252,0.000446600525338211,0.00511982842247726,-0.500224781033687,"SBSN",0.00254243721431779,3.35008077040172,"+"
"DSC1",0.642840216285237,16.0463046257159,3.40584124985438,0.000981525429313445,0.00937683960137444,-1.23066361824366,"DSC1",0.00465641111146613,3.00809844423774,"+"
"CTNNB1",0.639077846872702,13.5933653978578,4.06734614594358,0.000100648477253562,0.00170715806687361,0.894936166786032,"CTNNB1",0.00084775149512573,3.99719279132056,"+"
