"","Gene_name","s02_t1_pre","s02_t1_post","s02_t2_pre","s02_t2_post","s03_t1_pre","s03_t1_post","s03_t2_pre","s03_t2_post","s05_t1_pre","s05_t1_post","s05_t2_pre","s05_t2_post","s08_t1_pre","s08_t1_post","s08_t2_pre","s08_t2_post","s11_t1_pre","s11_t1_post","s11_t2_pre","s11_t2_post","s13_t1_pre","s13_t1_post","s13_t2_pre","s13_t2_post","s14_t1_pre","s14_t1_post","s14_t2_pre","s14_t2_post","s15_t1_pre","s15_t1_post","s15_t2_pre","s15_t2_post","s16_t1_pre","s16_t1_post","s16_t2_pre","s16_t2_post","s17_t1_pre","s17_t1_post","s17_t2_pre","s17_t2_post","s18_t1_pre","s18_t1_post","s18_t2_pre","s18_t2_post","s20_t1_pre","s20_t1_post","s20_t2_pre","s20_t2_post","s21_t1_pre","s21_t1_post","s21_t2_pre","s21_t2_post","s22_t1_pre","s22_t1_post","s22_t2_pre","s22_t2_post","s23_t1_pre","s23_t1_post","s23_t2_pre","s23_t2_post","s24_t1_pre","s24_t1_post","s24_t2_pre","s24_t2_post","s25_t1_pre","s25_t1_post","s25_t2_pre","s25_t2_post","s26_t1_pre","s26_t1_post","s26_t2_pre","s26_t2_post","s27_t1_pre","s27_t1_post","s27_t2_pre","s27_t2_post","s28_t1_pre","s28_t1_post","s28_t2_pre","s28_t2_post","s29_t1_pre","s29_t1_post","s29_t2_pre","s29_t2_post","s30_t1_pre","s30_t1_post","s30_t2_pre","s30_t2_post","s31_t1_pre","s31_t1_post","s31_t2_pre","s31_t2_post"
"1","IGKV3-7",13.4225228540729,12.3834320529931,12.8542227453418,13.4464054790345,14.9600163078568,14.5353721385497,14.6679780706011,14.2038266135519,13.3744362315473,14.1246117109881,14.7046045586214,14.0218942293038,14.4291583339766,14.2020254443573,14.9022499603259,13.7053538724531,13.7677559463923,14.3904829296483,12.8892410176186,13.9931704626219,14.7563211315673,14.6467740451001,15.3540746732144,15.3012210200527,14.1545354688883,14.655417805935,14.8183791420092,14.5235733342017,13.6930430075348,14.3674804742957,13.989735109996,13.9966649269701,14.4048072287232,15.0299773392013,15.0617084610897,14.5375294046982,13.2382484529776,13.8753944832014,11.9216566299385,14.3149398072509,13.6970307122165,14.2448389102384,13.7740650529539,13.2339203019619,14.0697601754038,14.2520821730888,13.0126448197804,13.5975209150954,12.6515751822457,12.0130838972797,13.4081992929785,12.699221225232,14.2831422722886,14.2797218494909,13.2944757940269,13.2829672436434,14.289186476743,14.4883404030299,13.6337909771667,13.7574494989529,13.6793877213795,14.3780655898755,14.9013820910713,14.8986443062804,14.0004646326812,13.1978758040923,13.5608073766598,14.0227208964058,14.4264201291895,13.6485026843539,14.5232861590289,13.6213102136846,14.3723680383982,12.9833581140148,14.0407037098487,13.335135122983,13.3482186713076,14.4397475843656,14.8775293324167,13.7519397606043,14.0212972266776,14.7238689870077,14.1043445224044,14.1467858086567,16.233229598518,14.1625423762838,14.260832758932,17.0494118305668,13.72376255619,13.8804219638107,13.9664677612493,14.0410253249817
"2","IGKV2-28",12.4946253619356,10.9921936023629,NA,11.5898427750647,12.269916002544,12.409873288773,11.8466501220752,11.2539309445554,11.8519855750323,13.0230288300502,11.0870430938597,11.7293776149522,13.0967026115277,11.837067620355,12.2209104139612,12.6545119259697,11.9273449410129,11.8130815883323,10.940894810046,11.8424983133513,12.7287112609173,12.8590156447627,9.96716788431443,12.4633565964409,12.677060658452,13.4264019318643,10.9478600950371,13.643638165894,12.9059421053926,13.8962396483067,11.9005188103022,12.4271823435803,11.9108473108455,11.7211907793502,11.1381630067301,11.2650385070803,11.3604629500883,12.1030921692185,NA,13.0010538380764,12.2206992863797,12.8972683821448,10.9035841450537,NA,11.1774041940658,11.5044873604881,NA,11.5700965225537,10.9309178994273,10.7501471315042,12.2749451512343,11.3122055559989,11.4507915449971,12.132222258659,NA,NA,12.7427786871054,12.660749909629,10.5765657229137,11.7473159600536,12.1943887066498,12.6513742726424,11.9695577106877,12.7709166748128,12.8965238598364,12.1856078957457,11.2574347782838,NA,12.2243529224654,11.3605085323995,NA,11.0346073888578,11.6966149668453,11.59222333494,NA,NA,11.2886164295459,12.220149198237,NA,NA,11.8564481303065,10.3485107282584,NA,NA,10.4960494395119,9.8816990628607,NA,NA,10.4338427869345,11.8170971711316,NA,NA
"3","GATD3B",16.3179619865363,16.5088469035576,15.6512032901375,15.975442895859,15.5846875658209,16.0633532419853,15.579155243662,16.0653410249785,16.564739140075,16.706562449801,15.8296069002253,16.04998576716,16.1890767347199,16.2939906450597,15.649046627412,15.9258939406967,16.0980696990682,16.5888793679052,15.9790014193293,16.6545187298149,16.6447810126616,16.2815656863221,15.2223365619824,15.5252457471879,16.513342237568,16.3385639357439,15.7017290832174,15.8616638047044,16.3754101686427,16.7436866750674,16.2341175578465,16.1661752535158,16.3549433411386,16.3118510820976,15.7120531584249,16.1030729585229,15.6236271035894,15.9784561742165,14.8975952691369,15.4528534316239,16.2090243973062,16.7452916283983,15.6146859715001,16.3170662999677,15.7437475904525,16.3656379577522,14.944099261788,15.4816180343315,16.0073530824751,16.1401333378215,15.7832528631711,16.1857680915315,16.717887570127,16.7281124199914,15.9003153736274,15.7998792246732,16.4064829096351,16.5082799086341,16.0077292733813,16.0126745924842,16.216135119726,16.2380903557019,15.1702725062255,15.4446843999361,15.8255682139629,16.114814313943,15.5952637594013,16.1754384479296,15.926808654719,16.2089315049443,15.4882877219312,15.3678567620045,16.2203369473587,16.3923336474201,15.5891526000495,15.9058170320904,16.2580328150792,16.5105709839211,15.5629035984974,15.716723783746,16.4909986861694,15.8610550212399,16.0127766100279,15.8289123892056,16.113150657697,16.3005193180978,16.1698884688304,16.0665110539028,16.3965106039488,16.4984913821593,16.2285815815145,15.8012053260565
"4","IGHV1-18",10.5998352499899,11.3184748573087,NA,11.2215881884745,10.8288519995699,10.7936348150926,11.8161123244249,11.2936941893027,NA,11.0158847807452,11.5495041460954,10.7799653443643,11.1270951109788,11.0016506900899,11.4976485562128,NA,11.2735232342936,10.7285399648389,NA,10.6033208964888,11.1155812889464,10.6107622418625,10.9128638484164,11.3403451087109,10.8952572641262,10.8960024786211,10.9596968608727,10.4536838229906,11.0817658834217,11.0092054405621,11.1121706301109,11.9416008644785,11.2640386583365,10.8220458771551,11.7819231478432,11.3321691789077,NA,10.4131393435515,NA,11.300433543552,10.7536266618861,11.7569470517881,11.0394755287435,NA,NA,10.921627379724,10.9394216533604,10.7367693918949,NA,NA,11.1280086908976,10.9286252571143,11.2893232362318,10.7822867078076,11.0232444518834,11.7686064329574,11.497115322008,11.2101928604508,11.4255328864837,11.2476855891093,10.7394326185003,11.2814510935232,11.3213927634528,12.0713325716866,10.8638869515801,10.455931757055,NA,10.9155262149236,12.0061755981183,11.4689071498816,11.6318865443517,11.0938276155939,10.9699037834296,10.2312321478771,10.2467038241903,10.4440708561145,NA,10.99703629693,12.1671124164852,11.067021025972,10.6620159441326,11.4089861345609,11.6003063834781,11.5241691160141,12.0886719716314,10.9151689296552,11.3516396156652,13.3389988289612,NA,10.4552169695899,11.229638028466,11.5235049537291
"5","IGHV4-61",7.81939415344029,NA,NA,7.89487244599387,NA,7.43163347513669,9.12819839711273,8.6155302943891,NA,8.95812531749864,7.79385692279226,NA,8.15380276627609,8.95904162388961,7.86430695060027,6.57890934876812,8.26460664322777,9.10791042553208,8.66276652872505,7.18697161896315,9.11071636383892,NA,6.85305843475994,NA,7.70335646704421,8.07174884187246,8.33294523917411,8.71371952174003,8.19024457788399,8.98908001148986,8.36030546433153,7.15340948777526,9.02662839960459,8.18926594286219,8.34576467713138,7.0744433448993,NA,7.92627341639473,NA,NA,7.34187842143457,7.85162540441197,8.56067258119237,NA,NA,9.5621484909519,7.18930236272927,NA,NA,NA,8.40845104652695,NA,8.53202213913433,NA,8.37323126029323,NA,8.84913463851359,8.61004787132313,NA,NA,8.52482940661586,8.94803982540346,8.74993161914939,8.67623675553988,8.16041269973,6.94098994814132,8.59985181976646,8.33316956329036,NA,8.26859409327997,NA,NA,NA,NA,NA,NA,8.09794076899355,NA,8.15960931485694,8.22661936660558,7.67086680743646,8.51329269971335,7.11501832445429,7.64656190783282,9.19769790054033,NA,8.04125118748432,10.3707575535103,NA,8.98717678170886,7.83014322382795,9.01145729367595
"6","UBA6",10.4030296412095,11.3280395477569,10.9783196869696,10.5096793975593,10.4909403879588,10.4511297241527,10.643629076217,10.9288283331084,10.7772915362494,10.8122701199169,10.6176410512918,11.1831163140165,10.277811057522,11.0194524502105,10.4364089524994,10.4068424606837,10.6332726171573,10.775150455689,10.7600075725906,10.946277122103,10.1647906270971,10.1146075260353,10.0600602688454,10.5843309817332,10.5435334334931,10.5326846695227,10.6695582157639,10.7640340159611,10.8981399394727,10.8371457845602,10.9643750072245,10.5401433782979,10.4255746726983,10.7707006174379,10.5143518489586,10.5072376589142,10.3980163809898,10.6904654531194,11.3039877424178,11.0548774142142,10.7939083851619,10.3414363840106,10.8286370930083,11.2563252944033,10.6885890271371,10.8159153847781,11.0443823149731,11.2777886026167,10.9457312949536,10.9093970297411,10.6727531530844,10.5365096522055,10.8899059957651,9.98228022899433,11.0339086053247,11.1983789247631,10.7462617167115,10.5106826273818,10.7749423187655,10.2782483179726,9.95357310251513,10.4303743208963,10.7176351755693,10.9750400760648,10.5336574549214,10.5343736677505,10.797739198247,11.0982932148221,10.5404352763344,10.4662077658373,10.4210544064872,10.6511054750798,10.6808444564282,10.8299775682086,11.1321891016042,NA,10.9534863816124,10.8491255860011,10.0264332012985,11.3884547867062,10.3407444142217,10.2686909957616,10.4132476578186,10.2131349893018,NA,10.2923834224326,10.569192643792,10.0231877875759,10.6690575899017,10.3682321053143,11.1239149818703,11.0555319291327
"7","ESYT2",14.4879646685353,14.5484174463806,14.2360517882153,14.2987363006424,13.9292698845408,13.9454368820867,15.0180782453094,13.6435862744032,14.1798740260974,14.0844417372684,14.3299948515749,14.4273822917996,13.8315422672352,13.7785775827619,14.023408916375,13.9134257405055,14.363366812451,14.2420540686227,14.207082175073,14.2229186805533,13.647593460626,14.2614088687236,14.4022869986492,14.2423958764222,14.3445782991732,14.218022777643,13.2100997845918,13.6825421939742,14.1363551957483,14.1272641211473,14.2504025350762,13.820815569238,14.3464867384855,14.3054529832662,14.2924827608943,14.2730993851501,14.3944709488361,14.1911735124019,15.0883874003537,13.7937656279257,14.0662919554566,13.9794549764121,14.5789398425297,14.5591830485082,14.7456022405779,14.2513874110577,14.3487751910363,14.3450760763437,14.470301516931,14.6512800429846,14.0281185539818,14.7934054319054,14.2287164905649,14.2648165063323,14.3982170293207,14.7705848400598,14.0715157108711,14.2945199180056,14.3461686922865,14.5741332480598,14.6323390901192,14.4261904135217,14.2502826730561,14.572965465,14.6010533970798,14.4557501720156,14.3973278243255,14.3870194521145,14.1241135221055,14.3709400968074,14.1327058228322,14.2383901586055,13.884873527807,14.2587338227555,14.0609203736997,13.8573222218355,14.4834483081051,14.2896041850834,14.3346004022621,14.2068166131228,14.3618356780637,14.0158163590822,13.767109815137,14.2616326399213,15.0302929170021,14.2046964566801,14.362646042,14.2759586634058,14.0668242922125,14.2530757078657,14.5543823637733,14.5842004903113
"8","TMEM223",11.8818014681875,11.0947976875629,12.0749727318587,11.3296215774899,12.0639644973491,11.8542346329967,11.542801396536,11.1999202822962,11.8094960299114,11.563556206904,11.4788857729354,11.8481163966382,11.7332414816426,NA,11.4525996818338,11.7748659747072,11.4041673491205,11.9134847575624,11.8138460808912,11.8707913503056,11.769171937783,12.0711602584214,11.3107729551287,11.079039141384,11.9716837295168,12.1515287575715,11.5356452116045,12.2826673836664,12.1795412325781,12.1419631877303,11.8874111073156,11.5241603033029,12.0843500063369,12.0739986572974,11.5676409252802,11.7982331233677,11.4697601388233,11.6704911460192,NA,11.7929699742096,12.011734540863,11.6501635133202,11.2012626724946,11.4020656143466,11.292828744248,11.6016539901541,11.7904719224879,11.460937145086,12.0893969499056,11.9533125271447,11.947137146925,11.9613667258237,12.0557717971591,12.0674664431851,11.7218594011562,11.8135163673265,12.3559211344049,12.035196796708,11.5816231082124,12.0654346736842,11.8911478522283,11.5547675032322,11.1691765474201,11.2071844554195,11.8370636968885,11.5202153391016,11.2596753363376,11.5866271706613,11.953979005548,11.7990505352004,11.850910882782,11.8830060950414,NA,11.9469620259459,11.6193646710315,11.5016529131863,NA,12.1529079819227,12.1252404552264,11.6881701653116,12.1443180948586,NA,11.1354789889261,11.3971878780341,11.8005656980915,12.0586686674739,12.2608427002424,11.4995821422127,11.9403289012329,12.3281553025242,11.4596545380213,11.832317399936
"9","ARHGAP10",NA,NA,NA,9.57708073942401,10.6580712199719,10.5702479789904,10.3292490667406,9.78504678822915,9.46114599145966,NA,10.1131998492895,10.3924197283363,9.99901614852608,10.2699238228947,9.97448299531589,9.09353214554223,NA,NA,9.91539982146499,NA,NA,10.1614202940208,10.5037062299388,10.299296949414,9.29559706068469,NA,NA,9.62277224451566,9.14243586178061,9.46113451077351,9.61263980456621,9.76540448504656,9.50230687554898,9.78717025088887,9.94838051260358,NA,10.3927370324141,9.9630369587853,10.8531386418486,10.4332745854715,NA,9.39751193833173,10.1626156196727,9.84716237734326,10.2583489718163,9.45092129718425,9.945928910912,9.51430518789753,10.2248036432446,9.72824781805275,10.1743175485152,NA,NA,9.28969599030989,10.0708012777945,NA,8.61025960272515,NA,NA,9.73469971086617,9.55013115547038,9.65889302412776,9.73332478147308,10.141670457084,9.30432760013617,9.82961731667809,9.92446795269174,9.18478177714914,10.023209686424,9.24423407122259,9.97174799236775,9.69358592005473,10.4988770952259,10.173988106978,9.92916243210173,NA,9.67727678332562,10.1998448739251,9.9374464676991,NA,10.039258635953,10.411438295395,NA,9.32380444845099,NA,9.49886981186328,9.94986233301415,NA,10.0936310457593,9.69980603728875,NA,NA
"10","ILVBL",13.5653737737841,13.6467663347392,13.593360897504,13.0718472684179,14.2923747330037,13.8986579247743,13.7505510641221,13.6170288600774,13.4758864884084,13.7279379567509,13.6699608116064,13.6308630748863,13.4537022278403,13.7853715029127,14.0365494921623,13.6732970058959,13.9633834510711,14.202021577839,13.9660548910498,13.9092104754534,13.7633181173812,14.0515536053568,13.0409179615343,13.435574094752,13.8200108626312,13.7627601147337,13.6200370422863,13.8324007171884,13.9773397078425,14.1201410645652,13.8187679533832,14.0804968644676,13.9098214595573,13.918359230779,12.9893343535715,13.3458117550655,13.4694410274222,13.3790600792859,13.4236154637598,13.5698449328924,13.5315864779921,13.9540189455824,14.0777082731922,14.2492938720544,13.4775037816646,13.882957492675,13.2402676267171,13.3527779233377,13.7993997198155,14.06517536176,14.1141187417938,14.109618066095,13.4138486437886,14.1596647048533,13.803337096232,13.5979200810882,14.0815133065043,14.4089300468466,13.9655440793642,14.0607714600461,13.9571785159608,13.5680305747752,13.1814633503457,13.8845997689737,13.973608396088,13.9149514576118,13.9978531147991,13.5282328627036,14.0196206233534,13.8425863545915,13.653461515786,13.507315078034,14.0852392330349,13.9209702684873,13.5030073236809,NA,13.8947830800607,13.7667048217901,13.351091237945,13.8359110245122,13.2663889698956,13.6721827532166,13.5859994519888,13.6270835779208,13.2070068779899,13.5311384895548,13.3345627684105,13.4551238902481,13.2287645855278,13.3883983347071,13.4255148845949,13.9054399317459
