"","protein","group"
"1","IGKV3-7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2","IGKV2-28","Male_type_I, Female_type_I"
"3","GATD3B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"4","IGHV1-18","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"5","UBA6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"6","ESYT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"7","TMEM223","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"8","ILVBL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"9","FSD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"10","NBAS","Male_type_I, Male_type_II"
"11","VWA8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"12","XIRP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"13","POTEF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"14","FITM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"15","VPS37C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"16","CARNS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"17","MAP1LC3B2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"18","PGP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"19","LRRC14B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"20","ASB14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"21","DHRS7C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"22","SMTNL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"23","SNRPGP15","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"24","NUDT19","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"25","PRR33","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"26","MIF4GD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"27","HACD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"28","PROB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"29","NACA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"30","PTGES3L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"31","MIEF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"32","AGPS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"33","PDLIM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"34","MYO1C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"35","SNAP23","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"36","HAX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"37","STXBP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"38","SMAP","Male_type_I, Female_type_I"
"39","NDUFS8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
