"","Gene_name","Description","log2FC_type2-type1","q-value","sex"
"1","MYH7B","Myosin-7B",5.54565158501701,2.03903797382733e-08,"female"
"2","MYH2","Myosin-2",5.43481978747726,2.20951387497527e-17,"female"
"3","MYH1","Myosin-1",5.37629350894376,1.6874263228931e-11,"female"
"4","MYBPC2","Myosin-binding protein C, fast-type",5.26345308815417,3.47111051414572e-18,"female"
"5","TNNC2","Troponin C, skeletal muscle",5.12433941131385,5.42011464124629e-17,"female"
"6","TNNI2","Troponin I, fast skeletal muscle",4.96073709927633,1.43642446103918e-15,"female"
"7","TNNT3","Troponin T, fast skeletal muscle",4.58272805813196,2.47920518474041e-16,"female"
"8","ZC3H8","Zinc finger CCCH domain-containing protein 8",4.50920194097873,3.53267425582845e-11,"female"
"9","MYL11","Myosin regulatory light chain 11",4.283539482259,1.42396168180525e-17,"female"
"10","GCC2","GRIP and coiled-coil domain-containing protein 2",3.89378620799834,4.72753301994654e-07,"female"
"11","DNAH7","Dynein axonemal heavy chain 7",3.54535670301109,2.56320130054884e-10,"female"
"12","MYH4","Myosin-4",3.31925910092378,1.01139921913786e-07,"female"
"13","ATP2A1","Sarcoplasmic/endoplasmic reticulum calcium ATPase 1",2.94197098689547,4.14140116897319e-16,"female"
"14","ACTN3","Alpha-actinin-3",2.62469717825517,0.00019165280162442,"female"
"15","GTPBP3","tRNA modification GTPase GTPBP3, mitochondrial",2.43131379494026,0.00022754789530807,"female"
"16","C8A","Complement component C8 alpha chain",2.15383176598604,7.41036468099101e-09,"female"
"17","TIMM10B","Mitochondrial import inner membrane translocase subunit Tim10 B",2.11673757570891,0.00283994693355659,"female"
"18","DMTN","Dematin",2.0911004876657,0.0058721974055817,"female"
"19","GBF1","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1",1.90467828771254,4.24129541695243e-05,"female"
"20","NUP62","Nuclear pore glycoprotein p62",1.88171060921221,6.80898690693432e-08,"female"
"21","IGFN1","Immunoglobulin-like and fibronectin type III domain-containing protein 1",1.68100046019923,0.00453410941678905,"female"
"22","INTU","Protein inturned",1.65190436375059,0.00278462157506667,"female"
"23","LDHA","L-lactate dehydrogenase A chain",1.62380673948338,5.21805867177043e-08,"female"
"24","MMGT1","ER membrane protein complex subunit 5",1.50375360581032,0.00157290992789433,"female"
"25","DNAH10","Dynein axonemal heavy chain 10",1.47647627041246,9.65007340246698e-07,"female"
"26","MYL4","Myosin light chain 4",1.46627392396668,3.09400397253723e-05,"female"
"27","RALB","Ras-related protein Ral-B",1.37639317924277,0.00053978988834654,"female"
"28","MYL1","Myosin light chain 1/3, skeletal muscle isoform",1.34077008291287,6.38751744969176e-10,"female"
"29","UBL4A","Ubiquitin-like protein 4A",1.2745549328562,0.0115346651617356,"female"
"30","AK1","Adenylate kinase isoenzyme 1",1.24435363797101,4.63763677145767e-12,"female"
"31","MYBPH","Myosin-binding protein H",1.22754907169059,0.0225985830777886,"female"
"32","S100A13","Protein S100-A13",1.22357941959453,3.2661815734826e-07,"female"
"33","GLRX","Glutaredoxin-1",1.21312495159895,3.44373996136568e-08,"female"
"34","PDLIM7","PDZ and LIM domain protein 7",1.2071506965661,3.20713156779711e-09,"female"
"35","PPP1R14C","Protein phosphatase 1 regulatory subunit 14C",1.20492518968893,2.92155351211064e-05,"female"
"36","HDHD3","Haloacid dehalogenase-like hydrolase domain-containing protein 3",1.15668951978892,0.00057581463024627,"female"
"37","PLXDC2","Plexin domain-containing protein 2",1.13483077350785,0.00666242240382384,"female"
"38","NGRN","Neugrin",1.11836052265947,0.0420411508719909,"female"
"39","ENO3","Beta-enolase",1.09864072171414,1.53541024596465e-08,"female"
"40","MIA3","Transport and Golgi organization protein 1 homolog",1.09857905350141,0.00028779428796231,"female"
"41","PFKM","ATP-dependent 6-phosphofructokinase, muscle type",1.09836471227771,6.48312652370945e-11,"female"
"42","SYNGR1","Synaptogyrin-1",1.06798063392621,5.12205628629111e-06,"female"
"43","CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1",1.06270816197613,1.05825508007159e-07,"female"
"44","GPD2","Glycerol-3-phosphate dehydrogenase, mitochondrial",1.05223804654621,1.07654499030257e-08,"female"
