"","Gene_name","Description","log2FC_post-pre","q-value","sex","fiber_type"
"1","MYH7B","Myosin-7B",2.94356328573694,0.0941969806281969,"female","type_1"
"2","KRT16","Keratin, type I cytoskeletal 16",1.63498583634381,0.0608178012915073,"female","type_1"
"3","KRT6A","Keratin, type II cytoskeletal 6A",1.4545938651372,0.0608178012915073,"female","type_1"
"4","KRT6C","Keratin, type II cytoskeletal 6C",1.4446567080916,0.0608178012915073,"female","type_1"
"5","KRT71","Keratin, type II cytoskeletal 71",1.40425548843686,0.0899434483759993,"female","type_1"
"6","MYBPH","Myosin-binding protein H",1.33626305272816,0.0761314506991875,"female","type_1"
"7","KRT6B","Keratin, type II cytoskeletal 6B",1.27393695181292,0.0726022874154567,"female","type_1"
"8","KRT14","Keratin, type I cytoskeletal 14",1.21340476560373,0.0681476557373995,"female","type_1"
"9","THY1","Thy-1 membrane glycoprotein",1.20781143220671,0.00449260990341984,"female","type_1"
"10","POSTN","Periostin",1.14624302842059,0.305782666514936,"female","type_1"
"11","KRT17","Keratin, type I cytoskeletal 17",1.11993173458421,0.0608178012915073,"female","type_1"
"12","KRT5","Keratin, type II cytoskeletal 5",1.04338261825314,0.108250514137651,"female","type_1"
"13","JUP","Junction plakoglobin",1.0291386374708,0.102031994722174,"female","type_1"
"14","S100A13","Protein S100-A13",1.01886207022241,0.00449260990341984,"female","type_1"
"15","CSTA","Cystatin-A",0.998686772267458,0.0701113990562215,"female","type_1"
"16","SBSN","Suprabasin",0.994645136937805,0.0619309869345179,"female","type_1"
"17","CTNNB1","Catenin beta-1",0.989014791113826,0.087435685997291,"female","type_1"
"18","FLG","Filaggrin",0.9776214967301,0.0619309869345179,"female","type_1"
"19","DSP","Desmoplakin",0.975663488040968,0.166686587254114,"female","type_1"
"20","UBE2D3","Ubiquitin-conjugating enzyme E2 D3",0.962606393154308,0.154610554462049,"female","type_1"
"21","RALB","Ras-related protein Ral-B",0.948030245803652,0.198588834585798,"female","type_1"
"22","FLG2","Filaggrin-2",0.927196590376621,0.145608654750137,"female","type_1"
"23","CDSN","Corneodesmosin",0.926166352653519,0.107059285003795,"female","type_1"
"24","KRT9","Keratin, type I cytoskeletal 9",0.91999401551195,0.111418092604934,"female","type_1"
"25","LIPE","Hormone-sensitive lipase",0.846078626976729,0.0456317097661817,"female","type_1"
"26","DSC1","Desmocollin-1",0.843243313701134,0.135483625122701,"female","type_1"
"27","KRT1","Keratin, type II cytoskeletal 1",0.842347332017383,0.108377696468293,"female","type_1"
"28","KRT2","Keratin, type II cytoskeletal 2 epidermal",0.80191029870597,0.183586791172582,"female","type_1"
"29","DSG1","Desmoglein-1",0.799761278843842,0.145579830206383,"female","type_1"
"30","CASP14","Caspase-14",0.791372747105378,0.0608178012915073,"female","type_1"
"31","S100A16","Protein S100-A16",0.791123559633357,0.0930113310417138,"female","type_1"
"32","INTU","Protein inturned",0.769683661687683,0.160924901831533,"female","type_1"
"33","AKAP12","A-kinase anchor protein 12",0.759785421553172,0.421780463298464,"female","type_1"
"34","KRT10","Keratin, type I cytoskeletal 10",0.741736719338679,0.158938883186256,"female","type_1"
"35","SERPINH1","Serpin H1",0.728871259531612,0.0004176922054466,"female","type_1"
"36","EPS15L1","Epidermal growth factor receptor substrate 15-like 1",0.726605158291429,0.160306986720621,"female","type_1"
"37","CALML5","Calmodulin-like protein 5",0.717042376932833,0.0908250871940406,"female","type_1"
"38","LAMP1","Lysosome-associated membrane glycoprotein 1",0.71515695750737,0.107059285003795,"female","type_1"
"39","FTL","Ferritin light chain",0.706909326159273,0.137359282442055,"female","type_1"
"40","NCSTN","Nicastrin",0.664538920226795,0.108940303709459,"female","type_1"
"41","S100A7","Protein S100-A7",0.656725588883752,0.332236288834135,"female","type_1"
"42","PPP4R1","Serine/threonine-protein phosphatase 4 regulatory subunit 1",0.64271494308203,0.0608178012915073,"female","type_1"
"43","BGN","Biglycan",0.641707323386152,0.0608178012915073,"female","type_1"
"44","PSMB8","Proteasome subunit beta type-8",0.624046770352498,0.0848397249275376,"female","type_1"
"45","SLC25A6","ADP/ATP translocase 3",0.585093081832014,0.17748469952878,"female","type_1"
"46","RBP1","Retinol-binding protein 1",0.573526831085681,0.17154299716651,"female","type_1"
"47","TIMMDC1","Complex I assembly factor TIMMDC1, mitochondrial",0.557597270414764,0.138865119579375,"female","type_1"
"48","FABP5","Fatty acid-binding protein 5",0.554493997855102,0.137359282442055,"female","type_1"
"49","SERPINB9","Serpin B9",0.546542553545155,0.106250219046614,"female","type_1"
"50","RHAG","Ammonium transporter Rh type A",0.544123276022452,0.500582445240068,"female","type_1"
"51","FCGRT","IgG receptor FcRn large subunit p51",0.538775009795017,0.0619309869345179,"female","type_1"
"52","PRRC1","Protein PRRC1",0.537607618761211,0.0858088372749509,"female","type_1"
"53","CTSH","Pro-cathepsin H",0.532985630956981,0.22629754194455,"female","type_1"
"54","CREG1","Protein CREG1",0.523247227676325,0.289235309085013,"female","type_1"
"55","LMNB1","Lamin-B1",0.522986379050682,0.0984767494072023,"female","type_1"
"56","MYL6B","Myosin light chain 6B",0.515559042130196,0.254993365890123,"female","type_1"
"57","MCM7","DNA replication licensing factor MCM7",0.511087723394402,0.500194373757484,"female","type_1"
"58","FMC1","Protein FMC1 homolog",0.50111693822155,0.134924312212991,"female","type_1"
"59","MYO1B","Unconventional myosin-Ib",0.496834383506769,0.0681476557373995,"female","type_1"
