"","Gene_name","Description","log2FC_male-female","q-value"
"1","FTL","Ferritin light chain",1.10939758683956,0.00067937296228687
"2","ZC3H8","Zinc finger CCCH domain-containing protein 8",0.893262485564669,0.210677430120432
"3","ALDH1A1","Aldehyde dehydrogenase 1A1",0.810739229065055,0.00243013151442402
"4","ANKRD1","Ankyrin repeat domain-containing protein 1",0.729367210691553,0.367575345062778
"5","FTH1","Ferritin heavy chain",0.698982087259189,0.00212748320252397
"6","TUBB4A","Tubulin beta-4A chain",0.662971783972452,0.0106262103615841
"7","KIAA1191","Putative monooxygenase p33MONOX",0.64608702650103,0.0675392857070336
"8","MICAL3","[F-actin]-monooxygenase MICAL3",0.644818565132709,0.0645444930660709
"9","GGT5","Glutathione hydrolase 5 proenzyme",0.640477667402964,0.0887358880729412
"10","NDUFC1","NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",0.639655013750732,0.086249417784481
"11","PANX1","Pannexin-1",0.636524847147628,0.0889584600515577
"12","MUSTN1","Musculoskeletal embryonic nuclear protein 1",0.631334372438181,0.04907241907377
"13","COX7C","Cytochrome c oxidase subunit 7C, mitochondrial",0.62860336686883,0.0232173797131176
"14","SDHC","Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",0.604559409201386,0.0232173797131176
"15","MYL6B","Myosin light chain 6B",0.597111625883606,0.466063711002229
"16","LAP3","Cytosol aminopeptidase",0.586111160772209,2.45214295575911e-05
"17","PRR33","Proline-rich protein 33",0.579477027688794,0.0106262103615841
"18","NCSTN","Nicastrin",0.572196396606522,0.0545355011569904
"19","RBM3","RNA-binding protein 3",0.57136985687171,0.0137777071087123
"20","GIGYF2","GRB10-interacting GYF protein 2",0.570112406063853,0.209098561179963
"21","IGFN1","Immunoglobulin-like and fibronectin type III domain-containing protein 1",0.567461647309988,0.313339443165046
"22","RRAD","GTP-binding protein RAD",0.565694141355998,0.0633189445907412
"23","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal",0.556994616301889,0.0206191807050944
"24","TAPT1","Transmembrane anterior posterior transformation protein 1 homolog",0.543982961038946,0.155134627232173
"25","SPECC1","Cytospin-B",0.543840146269829,0.350255281031517
"26","DDT","D-dopachrome decarboxylase",0.543337234130895,0.0507600992256925
"27","MACF1","Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5",0.530930800126711,0.281331616004852
"28","CES2","Cocaine esterase",0.530382178652914,0.228587857990228
"29","COX11","Cytochrome c oxidase assembly protein COX11, mitochondrial",0.52952232904833,0.0961665402141284
"30","MCM7","DNA replication licensing factor MCM7",0.528247736927671,0.0374408620709965
"31","UQCC3","Ubiquinol-cytochrome-c reductase complex assembly factor 3",0.524871155236386,0.229232747848728
"32","PROB1","Proline-rich basic protein 1",0.522960893185905,0.00360538918923069
"33","AK3","GTP:AMP phosphotransferase AK3, mitochondrial",0.521797760602441,0.0414035032611764
"34","SMTNL1","Smoothelin-like protein 1",0.514915265427071,0.117185654960388
"35","GOT2","Aspartate aminotransferase, mitochondrial",0.512186457917274,0.0169654948245788
"36","S100A13","Protein S100-A13",0.508540115747163,0.157967704878343
"37","MCEE","Methylmalonyl-CoA epimerase, mitochondrial",0.501550745262158,0.0526629653740014
"38","MRPL38","39S ribosomal protein L38, mitochondrial",0.501291109703166,0.0354813363429325
"39","SAE1","SUMO-activating enzyme subunit 1",0.495060589162385,0.0276130139664754
"40","GSTM4","Glutathione S-transferase Mu 4",0.494768617420222,0.21823051040614
"41","MPO","Myeloperoxidase",0.491247103917837,0.52603191787558
"42","HLCS","Biotin--protein ligase",0.490905644094454,0.466277940142492
"43","MRPL4","39S ribosomal protein L4, mitochondrial",0.488837838612335,0.0230017780460941
"44","NTMT1","N-terminal Xaa-Pro-Lys N-methyltransferase 1",0.486051332395457,0.112481584581766
"45","NDUFA4","Cytochrome c oxidase subunit NDUFA4",0.48400299102093,0.032916482963693
"46","MRPL43","39S ribosomal protein L43, mitochondrial",0.480374976488056,0.00817241528631802
"47","CTNND1","Catenin delta-1",0.476291253211572,0.135909508247373
"48","TNKS1BP1","182 kDa tankyrase-1-binding protein",0.476094867938613,0.278282227059099
"49","SMTN","Smoothelin",0.469014597686236,0.0294967207344411
"50","UQCR10","Cytochrome b-c1 complex subunit 9",0.46436723081424,0.0607417894311302
