"","Gene_name","Description","log2FC_post-pre","q-value"
"1","THY1","Thy-1 membrane glycoprotein",1.3206578195375,5.15825807677915e-17
"2","S100A13","Protein S100-A13",1.14033327057936,1.8187547519522e-06
"3","KRT71","Keratin, type II cytoskeletal 71",0.99989067791735,0.0021584541940675
"4","KRT16","Keratin, type I cytoskeletal 16",0.969946469066782,0.0204489010965527
"5","MYBPH","Myosin-binding protein H",0.931317736916826,0.000328332089931054
"6","KRT6A","Keratin, type II cytoskeletal 6A",0.901291525572759,0.0130932913520325
"7","KRT14","Keratin, type I cytoskeletal 14",0.827013515799781,0.0111543336976242
"8","POSTN","Periostin",0.7800054547368,0.0119376354163627
"9","KRT5","Keratin, type II cytoskeletal 5",0.736795740063055,0.0130932913520325
"10","KRT6B","Keratin, type II cytoskeletal 6B",0.734797951291201,0.0470699909089923
"11","SERPINH1","Serpin H1",0.692809385450605,1.41467351459387e-14
"12","KRT17","Keratin, type I cytoskeletal 17",0.686687402105752,0.0302179555524328
"13","S100A6","Protein S100-A6",0.685139480429964,0.000205379814455831
"14","JUP","Junction plakoglobin",0.678650468651901,0.0167831710292838
"15","SBSN","Suprabasin",0.646879948791918,0.00896622752857259
"16","DSC1","Desmocollin-1",0.642840216285242,0.015419186978054
"17","CTNNB1","Catenin beta-1",0.6390778468727,0.00329731280260756
"18","ALDH1B1","Aldehyde dehydrogenase X, mitochondrial",0.638709081837135,0.000227796226831709
"19","LIPE","Hormone-sensitive lipase",0.633073041641216,0.0660533303029728
"20","FLG","Filaggrin",0.619537785609095,0.0217026984238353
"21","KRT2","Keratin, type II cytoskeletal 2 epidermal",0.618252581545541,0.0119376354163627
"22","DSG1","Desmoglein-1",0.616180190463526,0.0307352323235323
"23","NES","Nestin",0.607213239053324,0.000112166117326536
"24","FLG2","Filaggrin-2",0.603211880671783,0.0573335101159196
"25","HSPB6","Heat shock protein beta-6",0.594847693012806,0.000184354603231231
"26","CDSN","Corneodesmosin",0.586143755739915,0.0082417650460687
"27","KRT9","Keratin, type I cytoskeletal 9",0.585863997723678,0.0291807800181846
"28","UCHL1","Ubiquitin carboxyl-terminal hydrolase isozyme L1",0.578504643624465,5.07860631760733e-05
"29","DSP","Desmoplakin",0.570659937990586,0.0425398683714093
"30","PXDN","Peroxidasin homolog",0.570340256105903,0.000682013914602539
"31","KRT10","Keratin, type I cytoskeletal 10",0.567993858935402,0.0160728334598259
"32","KRT1","Keratin, type II cytoskeletal 1",0.563788968365873,0.0224692671116997
"33","S100A16","Protein S100-A16",0.55141075703127,0.00318034585201342
"34","UBE2D3","Ubiquitin-conjugating enzyme E2 D3",0.549251839280792,0.0307352323235323
"35","CES2","Cocaine esterase",0.532263132774462,0.0279112494977305
"36","CALML5","Calmodulin-like protein 5",0.531538279118287,0.131515425514775
"37","BGN","Biglycan",0.53045193948201,0.000135667588201096
"38","CSTA","Cystatin-A",0.501447966895229,0.0386382732164963
"39","CASP3","Caspase-3",0.490971071458961,7.92461303454688e-09
"40","CARNS1","Carnosine synthase 1",0.48709592312496,8.47700046890913e-05
"41","VIM","Vimentin",0.467842140799373,1.9029065435646e-08
"42","RBP1","Retinol-binding protein 1",0.459852812760483,0.00128615661118611
"43","IGFN1","Immunoglobulin-like and fibronectin type III domain-containing protein 1",0.44209370109442,0.170186775761009
"44","SLC25A6","ADP/ATP translocase 3",0.441578154939135,0.00651613347262515
"45","CAMK2D","Calcium/calmodulin-dependent protein kinase type II subunit delta",0.440703882882802,6.78963344737887e-10
"46","GSN","Gelsolin",0.43715314486418,2.13093342365322e-09
"47","YBX1","Y-box-binding protein 1",0.436925523503156,0.0891299411145302
"48","SRPK2","SRSF protein kinase 2",0.436639566045491,0.211401829423176
"49","MYH7B","Myosin-7B",0.431378740123604,0.353387593276086
"50","TUBB4A","Tubulin beta-4A chain",0.430694029449914,0.00170227835317656
"51","LSMEM1","Leucine-rich single-pass membrane protein 1",0.429909128533758,0.075367558043954
"52","COL1A1","Collagen alpha-1(I) chain",0.429425598858986,0.124050198730235
"53","CSRP3","Cysteine and glycine-rich protein 3",0.421996668763082,5.88916743828514e-06
"54","TIMM10B","Mitochondrial import inner membrane translocase subunit Tim10 B",0.420423673899997,0.261366839695083
"55","CASP14","Caspase-14",0.41787167083829,0.0649809460677797
"56","SERPINB9","Serpin B9",0.416600307835013,0.00352340216835079
"57","NDUFAF2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2",0.414811127127619,0.199549686708548
"58","SSR1","Translocon-associated protein subunit alpha",0.41098327453385,0.0144968454148448
"59","AGBL1","Cytosolic carboxypeptidase 4",0.397579125998622,0.00963112925176858
"60","LGALSL","Galectin-related protein",0.396274798332682,2.72549175454537e-05
"61","NAMPT","Nicotinamide phosphoribosyltransferase",0.388082071664273,0.00206833832228376
"62","DNAJA4","DnaJ homolog subfamily A member 4",0.380263943524371,0.00314629196575219
"63","S100A4","Protein S100-A4",0.376548202565768,0.00750109869474334
"64","MRPL30","39S ribosomal protein L30, mitochondrial",0.369015705314231,0.00947579526252207
"65","ATP1A1","Sodium/potassium-transporting ATPase subunit alpha-1",0.368112384293156,1.8187547519522e-06
"66","PPP4R1","Serine/threonine-protein phosphatase 4 regulatory subunit 1",0.36806613435909,0.00442968452999575
"67","COMTD1","Catechol O-methyltransferase domain-containing protein 1",0.361119998002374,0.000642815482378214
"68","MYO1B","Unconventional myosin-Ib",0.359631282339915,0.00639532636118623
"69","AKR1C2","Aldo-keto reductase family 1 member C2",0.359616656586379,0.0211449436377801
