"","Gene_name","Description","log2FC_male-female","q-value","fiber_type"
"1","MYH7B","Myosin-7B",2.57743858372107,0.373503169077539,"type_1"
"2","ANKRD1","Ankyrin repeat domain-containing protein 1",1.33582992821301,0.558224916258167,"type_1"
"3","FTL","Ferritin light chain",1.07175950446374,0.0480238115821865,"type_1"
"4","RALB","Ras-related protein Ral-B",1.04857990643742,0.354442870555018,"type_1"
"5","MYL6B","Myosin light chain 6B",0.953872345752799,0.16396439838033,"type_1"
"6","NGRN","Neugrin",0.928554626433121,0.526227765156841,"type_1"
"7","C4orf54","Uncharacterized protein C4orf54",0.892513342782994,0.352848289392473,"type_1"
"8","FTH1","Ferritin heavy chain",0.857121946300268,0.0296447787074464,"type_1"
"9","IGFN1","Immunoglobulin-like and fibronectin type III domain-containing protein 1",0.841890755110731,0.350764944692856,"type_1"
"10","UQCC3","Ubiquinol-cytochrome-c reductase complex assembly factor 3",0.813096772462076,0.267132055199581,"type_1"
"11","FDX2","Ferredoxin-2, mitochondrial",0.708930773832067,0.515738089420185,"type_1"
"12","TIMMDC1","Complex I assembly factor TIMMDC1, mitochondrial",0.704618881577504,0.162476985607609,"type_1"
"13","PANX1","Pannexin-1",0.697526241798228,0.331091633843685,"type_1"
"14","FAM114A1","Protein NOXP20",0.68823687262473,0.446798423233036,"type_1"
"15","ALDH1A1","Aldehyde dehydrogenase 1A1",0.683061163632555,0.0267957562964742,"type_1"
"16","COX7C","Cytochrome c oxidase subunit 7C, mitochondrial",0.651255061215867,0.16396439838033,"type_1"
"17","GGT5","Glutathione hydrolase 5 proenzyme",0.63448976198085,0.282021254593159,"type_1"
"18","MCEE","Methylmalonyl-CoA epimerase, mitochondrial",0.6291131528781,0.162476985607609,"type_1"
"19","RBM3","RNA-binding protein 3",0.617854752288688,0.162476985607609,"type_1"
"20","MCM7","DNA replication licensing factor MCM7",0.609950602913999,0.534038147985498,"type_1"
"21","LTBP4","Latent-transforming growth factor beta-binding protein 4",0.588738490732519,0.168403181781187,"type_1"
"22","RPS6KA5","Ribosomal protein S6 kinase alpha-5",0.583268151817716,0.345832258953918,"type_1"
"23","UBL4A","Ubiquitin-like protein 4A",0.58304663350196,0.454516280487836,"type_1"
"24","MYBPH","Myosin-binding protein H",0.582290498540129,0.556553736673669,"type_1"
"25","ALDH1A2","Retinal dehydrogenase 2",0.580677932637618,0.330094939308824,"type_1"
"26","FMC1","Protein FMC1 homolog",0.580226580778922,0.20520256349422,"type_1"
"27","PON2","Serum paraoxonase/arylesterase 2",0.572570750086305,0.556281594995649,"type_1"
"28","TUBB4A","Tubulin beta-4A chain",0.566528791450002,0.210960806671548,"type_1"
"29","TIMM8B","Mitochondrial import inner membrane translocase subunit Tim8 B",0.566304010452692,0.191878666495504,"type_1"
"30","UBE2D3","Ubiquitin-conjugating enzyme E2 D3",0.550655838928249,0.556553736673669,"type_1"
"31","SDHC","Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",0.540503478658239,0.259591547976377,"type_1"
"32","NCSTN","Nicastrin",0.53729218362451,0.335310199322381,"type_1"
"33","MFAP4","Microfibril-associated glycoprotein 4",0.535875458858992,0.185412359177389,"type_1"
"34","GAPVD1","GTPase-activating protein and VPS9 domain-containing protein 1",0.531365000380276,0.564189348344071,"type_1"
"35","SH3KBP1","SH3 domain-containing kinase-binding protein 1",0.530040625998906,0.316889283786727,"type_1"
"36","NUDT19","Acyl-coenzyme A diphosphatase NUDT19",0.528906403757972,0.202088288495721,"type_1"
"37","NDUFC1","NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",0.521291613864516,0.387328471204851,"type_1"
"38","RRAD","GTP-binding protein RAD",0.519687808357247,0.224470229529256,"type_1"
"39","MRPS28","28S ribosomal protein S28, mitochondrial",0.517736529462555,0.0588169285889331,"type_1"
"40","TPPP3","Tubulin polymerization-promoting protein family member 3",0.516851568298721,0.107722126676628,"type_1"
"41","PPP4R1","Serine/threonine-protein phosphatase 4 regulatory subunit 1",0.510690170407342,0.298600163349835,"type_1"
"42","HLCS","Biotin--protein ligase",0.510466732480634,0.721081704968668,"type_1"
"43","DDT","D-dopachrome decarboxylase",0.490251961518869,0.361396260588861,"type_1"
"44","CTNND1","Catenin delta-1",0.489835437858266,0.337099256538184,"type_1"
"45","PDPR","Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",0.488666354222117,0.279689651057443,"type_1"
"46","COX20","Cytochrome c oxidase assembly protein COX20, mitochondrial",0.488666258601132,0.288593193231274,"type_1"
"47","LAP3","Cytosol aminopeptidase",0.475710526594581,0.0267957562964742,"type_1"
"48","DUSP13","Dual specificity protein phosphatase 13 isoform A",0.472182424183792,0.185412359177389,"type_1"
"49","DUSP13","Dual specificity protein phosphatase 13 isoform B",0.472182424183792,0.185412359177389,"type_1"
"50","UFSP2","Ufm1-specific protease 2",0.471226113370724,0.454516280487836,"type_1"
"51","MUSTN1","Musculoskeletal embryonic nuclear protein 1",0.469285410588283,0.298600163349835,"type_1"
"52","GBE1","1,4-alpha-glucan-branching enzyme",0.467441229643279,0.0267957562964742,"type_1"
"53","RAPH1","Ras-associated and pleckstrin homology domains-containing protein 1",0.466094227774668,0.383916125695682,"type_1"
"54","PYURF","Protein preY, mitochondrial",0.464776102755497,0.276818509366907,"type_1"
"55","SAE1","SUMO-activating enzyme subunit 1",0.464246278477338,0.20520256349422,"type_1"
"56","MRPS10","28S ribosomal protein S10, mitochondrial",0.463866854654579,0.27761422348097,"type_1"
"57","MRPS17","28S ribosomal protein S17, mitochondrial",0.46325963745436,0.118766185332417,"type_1"
"58","SLC25A6","ADP/ATP translocase 3",0.463149129795477,0.456438275275134,"type_1"
"59","GUF1","Translation factor GUF1, mitochondrial",0.460655991672294,0.162476985607609,"type_1"
"60","ACTN3","Alpha-actinin-3",0.457467580619056,0.593517461731704,"type_1"
"61","AGBL1","Cytosolic carboxypeptidase 4",0.456638789121872,0.383145693049651,"type_1"
"62","TNFAIP2","Tumor necrosis factor alpha-induced protein 2",0.449341738217138,0.345601333036017,"type_1"
"63","APOL2","Apolipoprotein L2",0.446155367962714,0.376070050994896,"type_1"
"64","PPT1","Palmitoyl-protein thioesterase 1",0.440766767180408,0.201056764270819,"type_1"
"65","SF3B2","Splicing factor 3B subunit 2",0.437145876895423,0.140913142253198,"type_1"
"66","S100A13","Protein S100-A13",0.435925089064725,0.267710664889228,"type_1"
"67","COX7A2L","Cytochrome c oxidase subunit 7A-related protein, mitochondrial",0.435445893301067,0.422704364971851,"type_1"
"68","RBM8A","RNA-binding protein 8A",0.43438276030653,0.20520256349422,"type_1"
"69","PSMB8","Proteasome subunit beta type-8",0.433371212861299,0.361396260588861,"type_1"
"70","ACSS1","Acetyl-coenzyme A synthetase 2-like, mitochondrial",0.425866253129144,0.20520256349422,"type_1"
"71","MICU2","Calcium uptake protein 2, mitochondrial",0.423285652025807,0.202088288495721,"type_1"
"72","ITPA","Inosine triphosphate pyrophosphatase",0.421236878217629,0.210960806671548,"type_1"
"73","OVCA2","Esterase OVCA2",0.419858319748176,0.077287705768798,"type_1"
"74","ALDOC","Fructose-bisphosphate aldolase C",0.419115092280796,0.473557573280759,"type_1"
"75","MRPL43","39S ribosomal protein L43, mitochondrial",0.416486799395582,0.185412359177389,"type_1"
"76","MTDH","Protein LYRIC",0.416419727083273,0.453843937603256,"type_1"
"77","MYO18B","Unconventional myosin-XVIIIb",0.412489417175831,0.450225370745291,"type_1"
"78","RPS23","40S ribosomal protein S23",0.41132397255876,0.282021254593159,"type_1"
"79","COX11","Cytochrome c oxidase assembly protein COX11, mitochondrial",0.411252888175516,0.361396260588861,"type_1"
"80","CRYZ","Quinone oxidoreductase",0.410690152202507,0.118766185332417,"type_1"
"81","ATP6V1E1","V-type proton ATPase subunit E 1",0.40910044627314,0.123681874332315,"type_1"
"82","ADI1","Acireductone dioxygenase",0.405423265918182,0.185412359177389,"type_1"
"83","CES2","Cocaine esterase",0.405081248175597,0.267132055199581,"type_1"
"84","SIL1","Nucleotide exchange factor SIL1",0.40432705293027,0.378620333884819,"type_1"
"85","ANKRD2","Ankyrin repeat domain-containing protein 2",0.402405460122296,0.375075052949029,"type_1"
"86","MRPL4","39S ribosomal protein L4, mitochondrial",0.400802561493126,0.217599472825498,"type_1"
"87","ARPC1A","Actin-related protein 2/3 complex subunit 1A",0.396201900864714,0.395653995925239,"type_1"
"88","GSTM1","Glutathione S-transferase Mu 1",0.395502619277794,0.727435617418321,"type_1"
"89","LMNB1","Lamin-B1",0.395406841966011,0.646587300025481,"type_1"
"90","MRPS9","28S ribosomal protein S9, mitochondrial",0.394875753623156,0.450225370745291,"type_1"
"91","MCAM","Cell surface glycoprotein MUC18",0.392988053474919,0.198473547643753,"type_1"
"92","GDPD1","Lysophospholipase D GDPD1",0.392636373818046,0.525924086764073,"type_1"
"93","TDRD7","Tudor domain-containing protein 7",0.390077334657681,0.675403524063458,"type_1"
"94","GIGYF2","GRB10-interacting GYF protein 2",0.38883580224045,0.447677179841213,"type_1"
"95","HSD17B10","3-hydroxyacyl-CoA dehydrogenase type-2",0.385764088018067,0.0588169285889331,"type_1"
