"","protein","...1","logFC","AveExpr","t","P.Value","adj.P.Val","B","q","-log10p","regulated_q","sex","keywords","gobp","gocc","gomf"
"1","A1BG","A1BG",0.0792776425330448,12.233780309137,0.706342662973399,0.486478846237291,0.598791460351403,-7.88956533063547,0.204712289680604,0.312936039593273,NA,"male","Alternative splicing;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunoglobulin domain;Reference proteome;Repeat;Secreted;Signal",NA,"blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]",NA
"2","A1BG","A1BG",0.119673802397852,12.5954189308424,0.734256715606667,0.469936776646494,0.639847314349318,-7.43826773378782,0.260908391032302,0.327960566320634,NA,"female","Alternative splicing;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunoglobulin domain;Reference proteome;Repeat;Secreted;Signal",NA,"blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]",NA
"3","A2M","A2M",-0.0940616393798983,13.6472249441228,-0.843474193631784,0.406928056506058,0.523611247540154,-7.78175958055402,0.179009996775101,0.390482365772913,NA,"male","3D-structure;Bait region;Direct protein sequencing;Disulfide bond;Glycoprotein;Isopeptide bond;Protease inhibitor;Reference proteome;Secreted;Serine protease inhibitor;Signal;Thioester bond","acute inflammatory response to antigenic stimulus [GO:0002438]; acute-phase response [GO:0006953]; embryonic liver development [GO:1990402]; luteinization [GO:0001553]; negative regulation of complement activation, lectin pathway [GO:0001869]; negative regulation of endopeptidase activity [GO:0010951]; response to carbon dioxide [GO:0010037]; response to glucocorticoid [GO:0051384]; response to nutrient [GO:0007584]; response to prostaglandin E [GO:0034695]; stem cell differentiation [GO:0048863]","blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]","brain-derived neurotrophic factor binding [GO:0048403]; calcium-dependent protein binding [GO:0048306]; endopeptidase inhibitor activity [GO:0004866]; enzyme binding [GO:0019899]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; interleukin-1 binding [GO:0019966]; interleukin-8 binding [GO:0019959]; nerve growth factor binding [GO:0048406]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor binding [GO:0005102]; tumor necrosis factor binding [GO:0043120]"
"4","A2M","A2M",0.113777238186429,14.0137484176317,0.636473861282833,0.530517981694179,0.689215421268023,-7.50660067810867,0.281039058233069,0.275299891275914,NA,"female","3D-structure;Bait region;Direct protein sequencing;Disulfide bond;Glycoprotein;Isopeptide bond;Protease inhibitor;Reference proteome;Secreted;Serine protease inhibitor;Signal;Thioester bond","acute inflammatory response to antigenic stimulus [GO:0002438]; acute-phase response [GO:0006953]; embryonic liver development [GO:1990402]; luteinization [GO:0001553]; negative regulation of complement activation, lectin pathway [GO:0001869]; negative regulation of endopeptidase activity [GO:0010951]; response to carbon dioxide [GO:0010037]; response to glucocorticoid [GO:0051384]; response to nutrient [GO:0007584]; response to prostaglandin E [GO:0034695]; stem cell differentiation [GO:0048863]","blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]","brain-derived neurotrophic factor binding [GO:0048403]; calcium-dependent protein binding [GO:0048306]; endopeptidase inhibitor activity [GO:0004866]; enzyme binding [GO:0019899]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; interleukin-1 binding [GO:0019966]; interleukin-8 binding [GO:0019959]; nerve growth factor binding [GO:0048406]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor binding [GO:0005102]; tumor necrosis factor binding [GO:0043120]"
"5","ABCB10","ABCB10",-0.313078594610902,10.8725148910982,-1.25379655635068,0.222567834732494,0.394176449878959,-6.90038809530201,0.160732007487333,0.652537599244549,NA,"female","3D-structure;Acetylation;ATP-binding;Glutathionylation;Membrane;Mitochondrion;Mitochondrion inner membrane;Nucleotide-binding;Reference proteome;Transit peptide;Transmembrane;Transmembrane helix;Transport","erythrocyte development [GO:0048821]; heme biosynthetic process [GO:0006783]; mitochondrial transport [GO:0006839]; mitochondrial unfolded protein response [GO:0034514]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of heme biosynthetic process [GO:0070455]; positive regulation of hemoglobin biosynthetic process [GO:0046985]","mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]","ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; protein homodimerization activity [GO:0042803]"
"6","ABCB10","ABCB10",-0.650743615506752,10.8425280125168,-3.91135419826917,0.00061819216196019,0.00219861386297146,-1.94159496275668,0.00075165280037272,3.20887650564447,"+","male","3D-structure;Acetylation;ATP-binding;Glutathionylation;Membrane;Mitochondrion;Mitochondrion inner membrane;Nucleotide-binding;Reference proteome;Transit peptide;Transmembrane;Transmembrane helix;Transport","erythrocyte development [GO:0048821]; heme biosynthetic process [GO:0006783]; mitochondrial transport [GO:0006839]; mitochondrial unfolded protein response [GO:0034514]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of heme biosynthetic process [GO:0070455]; positive regulation of hemoglobin biosynthetic process [GO:0046985]","mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]","ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; protein homodimerization activity [GO:0042803]"
"7","ABCB7","ABCB7",-1.21863065394787,11.5844782955303,-4.51598413167971,0.0001913511708135,0.00183774178143707,-0.200285093981301,0.0007493697958476,3.71816887612938,"+","female","3D-structure;Acetylation;Alternative splicing;ATP-binding;Disease variant;Membrane;Mitochondrion;Mitochondrion inner membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transit peptide;Transmembrane;Transmembrane helix;Transport","intracellular iron ion homeostasis [GO:0006879]; iron ion transmembrane transport [GO:0034755]; iron-sulfur cluster assembly [GO:0016226]; iron-sulfur cluster export from the mitochondrion [GO:0140466]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; positive regulation of heme biosynthetic process [GO:0070455]; positive regulation of iron-sulfur cluster assembly [GO:1903331]; transmembrane transport [GO:0055085]","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]","ABC-type iron-sulfur cluster transporter activity [GO:0140481]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; heme transmembrane transporter activity [GO:0015232]; protein homodimerization activity [GO:0042803]"
"8","ABCB7","ABCB7",-1.07287664668781,11.6304350154672,-6.53194477387542,1.12618654382813e-06,8.88229221757555e-06,4.48415682224775,3.03664046311718e-06,5.94838966610539,"+","male","3D-structure;Acetylation;Alternative splicing;ATP-binding;Disease variant;Membrane;Mitochondrion;Mitochondrion inner membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transit peptide;Transmembrane;Transmembrane helix;Transport","intracellular iron ion homeostasis [GO:0006879]; iron ion transmembrane transport [GO:0034755]; iron-sulfur cluster assembly [GO:0016226]; iron-sulfur cluster export from the mitochondrion [GO:0140466]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; positive regulation of heme biosynthetic process [GO:0070455]; positive regulation of iron-sulfur cluster assembly [GO:1903331]; transmembrane transport [GO:0055085]","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]","ABC-type iron-sulfur cluster transporter activity [GO:0140481]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; heme transmembrane transporter activity [GO:0015232]; protein homodimerization activity [GO:0042803]"
"9","ABCC1","ABCC1",-0.00560019317119398,10.3366155071947,-0.0355129696034445,0.971963138225545,0.982181300662407,-8.12655190138763,0.335783985332856,0.012350205412001,NA,"male","3D-structure;Alternative splicing;ATP-binding;Cell membrane;Deafness;Glycoprotein;Hydrolase;Lipid transport;Membrane;Non-syndromic deafness;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","carboxylic acid transmembrane transport [GO:1905039]; cell chemotaxis [GO:0060326]; cellular response to amyloid-beta [GO:1904646]; cellular response to oxidative stress [GO:0034599]; cobalamin transport [GO:0015889]; cyclic nucleotide transport [GO:0070729]; export across plasma membrane [GO:0140115]; glutathione transmembrane transport [GO:0034775]; heme catabolic process [GO:0042167]; leukotriene metabolic process [GO:0006691]; leukotriene transport [GO:0071716]; phospholipid translocation [GO:0045332]; positive regulation of inflammatory response [GO:0050729]; response to xenobiotic stimulus [GO:0009410]; sphingolipid translocation [GO:0099039]; transepithelial transport [GO:0070633]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]; xenobiotic metabolic process [GO:0006805]; xenobiotic transport [GO:0042908]; xenobiotic transport across blood-brain barrier [GO:1990962]","apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; extracellular exosome [GO:0070062]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; plasma membrane [GO:0005886]","ABC-type glutathione S-conjugate transporter activity [GO:0015431]; ABC-type transporter activity [GO:0140359]; ABC-type vitamin B12 transporter activity [GO:0015420]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled inorganic anion transmembrane transporter activity [GO:0043225]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]; carboxylic acid transmembrane transporter activity [GO:0046943]; efflux transmembrane transporter activity [GO:0015562]; glutathione transmembrane transporter activity [GO:0034634]; xenobiotic transmembrane transporter activity [GO:0042910]"
"10","ABCC1","ABCC1",0.0870066690758176,10.4305933393572,0.414901807139167,0.683145560568914,0.801624679929574,-7.47095596156994,0.326875804214169,0.165486749588564,NA,"female","3D-structure;Alternative splicing;ATP-binding;Cell membrane;Deafness;Glycoprotein;Hydrolase;Lipid transport;Membrane;Non-syndromic deafness;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","carboxylic acid transmembrane transport [GO:1905039]; cell chemotaxis [GO:0060326]; cellular response to amyloid-beta [GO:1904646]; cellular response to oxidative stress [GO:0034599]; cobalamin transport [GO:0015889]; cyclic nucleotide transport [GO:0070729]; export across plasma membrane [GO:0140115]; glutathione transmembrane transport [GO:0034775]; heme catabolic process [GO:0042167]; leukotriene metabolic process [GO:0006691]; leukotriene transport [GO:0071716]; phospholipid translocation [GO:0045332]; positive regulation of inflammatory response [GO:0050729]; response to xenobiotic stimulus [GO:0009410]; sphingolipid translocation [GO:0099039]; transepithelial transport [GO:0070633]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]; xenobiotic metabolic process [GO:0006805]; xenobiotic transport [GO:0042908]; xenobiotic transport across blood-brain barrier [GO:1990962]","apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; extracellular exosome [GO:0070062]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; plasma membrane [GO:0005886]","ABC-type glutathione S-conjugate transporter activity [GO:0015431]; ABC-type transporter activity [GO:0140359]; ABC-type vitamin B12 transporter activity [GO:0015420]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled inorganic anion transmembrane transporter activity [GO:0043225]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]; carboxylic acid transmembrane transporter activity [GO:0046943]; efflux transmembrane transporter activity [GO:0015562]; glutathione transmembrane transporter activity [GO:0034634]; xenobiotic transmembrane transporter activity [GO:0042910]"
